Field=#~Integer~#~50|Field=Description~String~Description~68|Field=Quantity~Integer~Quantity~51|Field=Supplier 1~String~Supplier 1~60|Field=Supplier Part Number 1~String~Supplier Part Number 1~60|Field=LibRef~String~LibRef~47|Field=Manufacturer 1~String~Manufacturer 1~62|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~45|Field=Supplier Currency 1~String~Supplier Currency 1~45|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~45|Field=Supplier Stock 1~Integer~Supplier Stock 1~45|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~45|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~53|Field=Footprint~String~Footprint~67|Field=Designator~String~Designator~68|ReportField=Currency~<none>|ReportField=ProductionQuantity~3|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\CvejaBog\Desktop\praksa\lora feather_ver0.2\lora feather\PCB_Project\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials production For Project [PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~61|ReportField=ReportTime~1:09:02 PM|ReportField=ReportDate~8/20/2018|ReportField=ReportDateTime~8/20/2018 1:09:02 PM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/20/2018|ReportField=CurrentTime~1:08:08 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\CvejaBog\Desktop\praksa\lora feather_ver0.2\lora feather\PCB_Project\PAGE2 - MCU.SchDoc|ReportField=DocumentName~PAGE2 - MCU.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/16/2018|ReportField=Organization~|ReportField=ProjectName~PCB_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\CvejaBog\Desktop\praksa\lora feather_ver0.2\lora feather\PCB_Project\PCB_Project.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|MURATA         ZRB18AR60J226ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 22 F, 6.3 V,  20%, X5R, ZRA Series|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR60J226ME01L%26seller%3DFarnell%26sku%3D2469395%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2469395{URL.TIP}Supplier|22uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR60J226ME01L%26seller%3DFarnell%26sku%3D2469395%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR60J226ME01L%26seller%3DFarnell%26sku%3D2469395%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ZRB18AR60J226ME01L{URL.TIP}Manufacturer|EUR|5|4877|2.7|0.54|0603Cap|C18
12|MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series|6|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR61E106ME01L%26seller%3DFarnell%26sku%3D2469398%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2469398{URL.TIP}Supplier|10uF Cap|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR61E106ME01L%26seller%3DFarnell%26sku%3D2469398%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DZRB18AR61E106ME01L%26seller%3DFarnell%26sku%3D2469398%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ZRB18AR61E106ME01L{URL.TIP}Manufacturer|GBP|18|0|7.398|0.411|0603Cap|C2, C3, C5, C8, C16, C17
13||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1104%26seller%3DFarnell%26sku%3D2823300%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2823300{URL.TIP}Supplier|1M1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1104%26seller%3DFarnell%26sku%3D2823300%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1104%26seller%3DFarnell%26sku%3D2823300%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCHVR03FTFX1104{URL.TIP}Manufacturer|Loading...||0|||0603Res|R18
14||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1804%26seller%3DFarnell%26sku%3D2825653%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2825653{URL.TIP}Supplier|1.8Mohm Res|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1804%26seller%3DFarnell%26sku%3D2825653%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCHVR03FTFX1804%26seller%3DFarnell%26sku%3D2825653%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCHVR03FTFX1804{URL.TIP}Manufacturer|Loading...||0|||0603Res|R4
15|MULTICOMP         MC0402B101K500CT            SMD Multilayer Ceramic Capacitor, MC Series, 100 pF,  10%, X7R, 50 V, 0402 [1005 Metric]|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMC0402B101K500CT%26seller%3DFarnell%26sku%3D1758968%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1758968{URL.TIP}Supplier|0F|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMC0402B101K500CT%26seller%3DFarnell%26sku%3D1758968%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMC0402B101K500CT%26seller%3DFarnell%26sku%3D1758968%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MC0402B101K500CT{URL.TIP}Manufacturer|Loading...||0|||0402CAP|C12
16|MODULAR JACK|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2782009{URL.TIP}Supplier|44620-0001|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D44620-0001%26seller%3DFarnell%26sku%3D2782009%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}44620-0001{URL.TIP}Manufacturer|EUR|6|1186|4.134|0.689|EThernet conn|P5, P6
17|MICROCHIP         MCP25625-E/ML            CAN Bus, Controller with Transceiver, CAN, SPI, 3, 2, 2.7 V, 5.5 V, QFN|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP25625-E%252FML%26seller%3DFarnell%26sku%3D2448754%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2448754{URL.TIP}Supplier|MCP25625-E/ML|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP25625-E%252FML%26seller%3DFarnell%26sku%3D2448754%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DMCP25625-E%252FML%26seller%3DFarnell%26sku%3D2448754%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCP25625-E%2FML{URL.TIP}Manufacturer|EUR|3|82|6.84|2.28|MCP25625|U1
18|Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2665201%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2665201{URL.TIP}Supplier|10pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2665201%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2665201%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}06035C100KAT2A{URL.TIP}Manufacturer|Loading...||0|||0603Cap|C1, C4
19||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKingbright%26mpn%3DKPG1-1608VGC-TT-5MAV%26seller%3DFarnell%26sku%3D2671383%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2671383{URL.TIP}Supplier|LED|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKingbright%26mpn%3DKPG1-1608VGC-TT-5MAV%26seller%3DFarnell%26sku%3D2671383%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kingbright{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKingbright%26mpn%3DKPG1-1608VGC-TT-5MAV%26seller%3DFarnell%26sku%3D2671383%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}KPG1-1608VGC-TT-5MAV{URL.TIP}Manufacturer|EUR|5|3955|2.895|0.579|LED|D1
20|Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD|4|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2522597{URL.TIP}Supplier|0.1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603C104K4RAC7081{URL.TIP}Manufacturer|EUR|12|131460|0.7668|0.0639|0603Cap|C6, C7, C10, C15
